Center-X(mm),Center-Y(mm),Comment,Description,Designator,Footprint,Layer,LibRef,Quantity,Rotation,Variant,Revision,Trenz-Stock,Value,AN,Case,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,Ref-X(mm),Ref-Y(mm)

"5.7","63.05","47µF","KON 47µF 6,3V  X5R SMD 20%","C1","CAPC2012X135N","Top","24718","1","90","Default","02","","47u","24718","2012 (0805)","SMT","Yes","X5R","20%","","6.3V","5.7","63.05"
"12.3","29.05","47µF","KON 47µF 6,3V  X5R SMD 20%","C2","CAPC2012X135N","Top","24718","1","90","Default","02","","47u","24718","2012 (0805)","SMT","Yes","X5R","20%","","6.3V","12.3","29.05"
"41.23","54.12","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C3","CAPC1005X60N","Top","24719","1","180","Default","02","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","41.23","54.12"
"41.85","52.15","470nF","KON 470nF X5R 6.3V SMD 20%","C4","CAPC0603X33N","Top","24921","1","180","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","41.85","52.15"
"39.09","53.23","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C5","CAPC1005X60N","Top","24719","1","180","Default","02","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","39.09","53.23"
"39.28","52.1","470nF","KON 470nF X5R 6.3V SMD 20%","C6","CAPC0603X33N","Top","24921","1","180","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","39.28","52.1"
"38.04","52.1","470nF","KON 470nF X5R 6.3V SMD 20%","C7","CAPC0603X33N","Top","24921","1","0","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","38.04","52.1"
"37.38","41.2","470nF","KON 470nF X5R 6.3V SMD 20%","C8","CAPC0603X33N","Top","24921","1","180","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","37.38","41.2"
"45.1","50.7","470nF","KON 470nF X5R 6.3V SMD 20%","C9","CAPC0603X33N","Top","24921","1","90","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","45.1","50.7"
"45.1","46.7","470nF","KON 470nF X5R 6.3V SMD 20%","C10","CAPC0603X33N","Top","24921","1","90","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","45.1","46.7"
"34.13","48.7","470nF","KON 470nF X5R 6.3V SMD 20%","C11","CAPC0603X33N","Top","24921","1","270","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","34.13","48.7"
"26.84","40.75","470nF","KON 470nF X5R 6.3V SMD 20%","C12","CAPC0603X33N","Top","24921","1","90","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","26.84","40.75"
"40.43","40.93","470nF","KON 470nF X5R 6.3V SMD 20%","C13","CAPC0603X33N","Top","24921","1","270","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","40.43","40.93"
